id,name,level,parent,url
1,Audio Kamera & Elektronik Lainnya,1,,
2,Aksesoris Kamera,2,1.0,
3,Kabel Konektor Kamera,3,2.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/kabel-konektor-kamera
4,Lainnya,3,2.0,https://www.tokopedia.com/p/olahraga/gym-fitness/lainnya
5,Microphone Kamera,3,2.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/microphone-kamera
6,Monopod Kamera,3,2.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/monopod-kamera
7,Remote Wireless Kamera,3,2.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/remote-wireless-kamera
8,Silica Gel Kamera,3,2.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/silica-gel-kamera
9,Stabilizer Kamera,3,2.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/stabilizer-kamera
10,Tripod Kamera,3,2.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/aksesoris-kamera/tripod-kamera
11,Audio,2,1.0,
12,Amplifier,3,11.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/amplifier
13,Earphone,3,11.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/earphone
14,Headphone,3,11.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/headphone
15,Kabel & Konektor Audio,3,11.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/kabel-konektor-audio
16,Sound System,3,11.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/sound-system
17,Speaker,3,11.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/audio/speaker
18,TWSVoice Recorder,3,11.0,
19,Baterai & Charger Kamera,2,1.0,
20,Baterai Kamera,3,19.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/baterai-kamera
21,Battery & Charger Pack,3,19.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/battery-charger-pack
22,Battery Grip Kamera,3,19.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/battery-grip-kamera
23,Charger Kamera,3,19.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/baterai-charger-kamera/charger-kamera
24,Cleaning Tools Kamera,2,1.0,
25,Cleaning Cloth & Wipe,3,24.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/cleaning-cloth-wipe
26,Cleaning Kit Kamera,3,24.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/cleaning-kit-kamera
27,Cleaning Swab,3,24.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/cleaning-swab
28,Dry Box Kamera,3,24.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/dry-box-kamera
29,Lenspen,3,24.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/lenspen
30,Rubber Dust Air Blower,3,24.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/rubber-dust-air-blower
31,Drone & Aksesoris,2,1.0,
32,Aksesoris Drone,3,31.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/aksesoris-drone
33,Drone Kamera,3,31.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/drone-kamera
34,Drone Remote Control,3,31.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/drone-remote-control
35,Tas Drone,3,31.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/tas-drone
36,Frame Album & Roll Film,2,1.0,
37,Album Foto,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/album-foto
38,DVs,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/dvs
39,Frame Digital,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/frame-digital
40,Frame Foto,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/frame-foto
41,Printer Foto,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/printer-foto
42,Printer Foto Portable,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/printer-foto-portable
43,Refilll Kamera Instan,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/refilll-kamera-instan
44,Roll Film,3,36.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/roll-film
45,Kamera Analog,2,1.0,
46,Disposable Camera,3,45.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/disposable-camera
47,Kamera Film,3,45.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/kamera-film
48,Kamera Instan,3,45.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/kamera-instan
49,Kamera Lomo,3,45.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/kamera-lomo
50,Kamera Digital,2,1.0,
51,Action Camera,3,50.0,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-digital/action-camera
